FileName;FunctionName;NumStackAllocations;NumEscapingStackAllocations;TotalAllocatedStackMemory;TotalEscapingAllocatedStackMemory
test;function_21cc3;1;0;8;0
test;function_21d03;0;0;0;0
test;function_21d53;9;0;72;0
test;function_21e03;0;0;0;0
test;function_21e20;0;0;0;0
test;function_21e23;0;0;0;0
test;function_21e40;0;0;0;0
test;function_21e43;0;0;0;0
test;function_21e80;0;0;0;0
test;function_21e83;4;0;32;0
test;function_21ee0;0;0;0;0
test;function_21ee3;1;0;8;0
test;function_21f10;0;0;0;0
test;function_21f13;0;0;0;0
test;function_21f50;0;0;0;0
test;function_21f53;0;0;0;0
test;function_21f90;0;0;0;0
test;function_21f93;0;0;0;0
test;function_21fd0;0;0;0;0
test;function_22010;0;0;0;0
test;function_22013;14;1;105;8
test;function_22780;0;0;0;0
test;function_22783;6;0;34;0
test;function_227c0;0;0;0;0
test;function_227c3;0;0;0;0
test;function_227d0;0;0;0;0
test;function_227d3;0;0;0;0
test;function_227f0;0;0;0;0
test;function_227f3;0;0;0;0
test;function_22803;0;0;0;0
test;function_22833;0;0;0;0
test;function_22853;0;0;0;0
test;function_22863;0;0;0;0
test;function_22873;0;0;0;0
test;function_228a0;3;0;20;0
test;function_22a60;9;0;72;0
test;function_22b60;10;1;80;8
test;function_22ce0;99;3;729;24
test;function_231c0;238;3;1686;20
test;function_23f70;0;0;0;0
test;function_23f73;49;0;378;0
test;function_24510;0;0;0;0
test;function_24513;8;0;53;0
test;function_24710;0;0;0;0
test;function_24713;68;0;544;0
test;function_25040;0;0;0;0
test;function_25043;0;0;0;0
test;function_25073;4;0;32;0
test;function_25290;0;0;0;0
test;function_25293;0;0;0;0
test;function_252c0;0;0;0;0
test;function_252c3;3;1;24;8
test;function_25350;0;0;0;0
test;function_2538d;0;0;0;0
test;_obstack_begin;0;0;0;0
test;function_253a3;1;0;8;0
test;_obstack_begin_1;0;0;0;0
test;function_25473;0;0;0;0
test;_obstack_newchunk;0;0;0;0
test;function_25543;7;0;49;0
test;_obstack_allocated_p;0;0;0;0
test;function_25673;2;0;16;0
test;_obstack_free;0;0;0;0
test;function_256b3;3;0;24;0
test;_obstack_memory_used;0;0;0;0
test;function_25753;3;0;24;0
test;function_25780;0;0;0;0
test;function_25783;1;0;8;0
test;function_257f0;0;0;0;0
test;function_257f3;0;0;0;0
test;function_25810;0;0;0;0
test;function_25813;1;0;8;0
test;function_258a0;0;0;0;0
test;function_258a3;11;0;74;0
test;function_25900;0;0;0;0
test;function_25903;2;0;16;0
test;function_25930;0;0;0;0
test;function_25933;0;0;0;0
test;function_259b0;0;0;0;0
test;function_259b3;2;1;12;4
test;function_25a30;0;0;0;0
test;function_25a33;1;0;8;0
test;function_25a50;0;0;0;0
test;function_25a53;0;0;0;0
test;function_25a60;0;0;0;0
test;function_25a63;0;0;0;0
test;function_25aa0;0;0;0;0
test;function_25aa3;0;0;0;0
test;function_25af0;0;0;0;0
test;function_25af3;0;0;0;0
test;function_25b30;0;0;0;0
test;function_25b33;1;0;8;0
test;function_25bb0;0;0;0;0
test;function_25bb3;1;0;8;0
test;function_25c63;0;0;0;0
test;function_25c70;0;0;0;0
test;function_25c73;0;0;0;0
test;function_25c90;0;0;0;0
test;function_25c93;9;1;72;8
test;function_25ee3;1;0;8;0
test;function_25f53;0;0;0;0
test;function_25f60;0;0;0;0
test;function_25f63;0;0;0;0
test;function_25f77;0;0;0;0
test;__ctype_toupper_loc;0;0;0;0
test;__uflow;0;0;0;0
test;getenv;0;0;0;0
test;__vfprintf_chk;0;0;0;0
test;abort;0;0;0;0
test;re_match;0;0;0;0
test;__errno_location;0;0;0;0
test;strncmp;0;0;0;0
test;splice;0;0;0;0
test;_exit;0;0;0;0
test;strcpy;0;0;0;0
test;__fpending;0;0;0;0
test;puts;0;0;0;0
test;pcre_maketables;0;0;0;0
test;qsort;0;0;0;0
test;isatty;0;0;0;0
test;sigaction;0;0;0;0
test;iswcntrl;0;0;0;0
test;fcntl;0;0;0;0
test;write;0;0;0;0
test;fread_unlocked;0;0;0;0
test;textdomain;0;0;0;0
test;__strtol_internal;0;0;0;0
test;fclose;0;0;0;0
test;bindtextdomain;0;0;0;0
test;stpcpy;0;0;0;0
test;dcgettext;0;0;0;0
test;regfree;0;0;0;0
test;__ctype_get_mb_cur_max;0;0;0;0
test;strlen;0;0;0;0
test;__lxstat;0;0;0;0
test;openat;0;0;0;0
test;__stack_chk_fail;0;0;0;0
test;getopt_long;0;0;0;0
test;mbrtowc;0;0;0;0
test;strchr;0;0;0;0
test;__fxstatat;0;0;0;0
test;__overflow;0;0;0;0
test;strrchr;0;0;0;0
test;lseek;0;0;0;0
test;__assert_fail;0;0;0;0
test;fputs;0;0;0;0
test;pcre_exec;0;0;0;0
test;memset;0;0;0;0
test;close;0;0;0;0
test;closedir;0;0;0;0
test;regcomp;0;0;0;0
test;memchr;0;0;0;0
test;read;0;0;0;0
test;memcmp;0;0;0;0
test;fputs_unlocked;0;0;0;0
test;calloc;0;0;0;0
