FunctionName;NumInstructions;NumAllocaInvocations;NumEscapingAllocaInvocations;NumDynamicallySizedAllocaInvocations;NumDynamicallySizedEscapingAllocaInvocations;TotalStaticallyAllocatedStackMemory;TotalStaticallyAllocatedEscapingStackMemory
rpl_regfree;17;0;0;0;0;0;0
rpl_regexec;29;0;0;0;0;0;0
re_search_internal;2884;11;5;0;0;440;336
re_string_reconstruct;862;4;4;0;0;22;22
transit_state_bkref;604;2;1;0;0;28;24
extend_buffers;211;0;0;0;0;0;0
check_node_accept_bytes;253;0;0;0;0;0;0
re_node_set_init_union;161;0;0;0;0;0;0
merge_state_with_log;155;1;1;0;0;24;24
sift_states_backward;272;1;1;0;0;24;24
re_acquire_state;231;0;0;0;0;0;0
match_ctx_clean;54;0;0;0;0;0;0
set_regs;744;2;1;1;0;24;24
check_node_accept;140;0;0;0;0;0;0
update_cur_sifted_state;774;5;1;0;0;92;24
check_dst_limits;129;0;0;0;0;0;0
check_dst_limits_calc_pos_1;96;0;0;0;0;0;0
re_node_set_add_intersect;141;0;0;0;0;0;0
sub_epsilon_src_nodes;240;1;0;0;0;24;0
check_subexp_matching_top;77;0;0;0;0;0;0
get_subexp_sub;118;0;0;0;0;0;0
check_arrival;674;4;2;0;0;56;48
check_arrival_expand_ecl;82;1;0;0;0;24;0
expand_bkref_cache;313;3;2;0;0;52;48
check_arrival_expand_ecl_sub;69;0;0;0;0;0;0
rpl_re_match;2;0;0;0;0;0;0
re_search_stub;218;0;0;0;0;0;0
rpl_re_search;2;0;0;0;0;0;0
rpl_re_match_2;26;0;0;0;0;0;0
rpl_re_search_2;26;0;0;0;0;0;0
rpl_re_set_registers;16;0;0;0;0;0;0
last_component;22;0;0;0;0;0;0
base_len;11;0;0;0;0;0;0
close_stream;24;0;0;0;0;0;0
cycle_check_init;5;0;0;0;0;0;0
cycle_check;37;0;0;0;0;0;0
open_safer;33;1;1;0;0;24;24
hard_locale;16;1;0;0;0;257;0
i_ring_init;13;0;0;0;0;0;0
i_ring_empty;4;0;0;0;0;0;0
i_ring_push;23;0;0;0;0;0;0
i_ring_pop;26;0;0;0;0;0;0
locale_charset;7;0;0;0;0;0;0
mb_width_aux;9;0;0;0;0;0;0
mb_copy;29;0;0;0;0;0;0
is_basic;10;0;0;0;0;0;0
opendirat;16;0;0;0;0;0;0
setlocale_null_r;22;0;0;0;0;0;0
setlocale_null;2;0;0;0;0;0;0
dup_safer;2;0;0;0;0;0;0
rpl_fcntl;131;1;1;0;0;24;24
