FunctionName;NumInstructions;NumAllocaInvocations;NumEscapingAllocaInvocations;NumDynamicallySizedAllocaInvocations;NumDynamicallySizedEscapingAllocaInvocations;TotalStaticallyAllocatedStackMemory;TotalStaticallyAllocatedEscapingStackMemory
caml_int32_shift_right_unsigned;13;0;0;0;0;0;0
caml_int32_direct_bswap;4;0;0;0;0;0;0
caml_int32_bswap;11;0;0;0;0;0;0
caml_int32_of_int;8;0;0;0;0;0;0
caml_int32_to_int;8;0;0;0;0;0;0
caml_int32_of_float_unboxed;2;0;0;0;0;0;0
caml_int32_of_float;9;0;0;0;0;0;0
caml_int32_to_float_unboxed;2;0;0;0;0;0;0
caml_int32_to_float;7;0;0;0;0;0;0
caml_int32_compare_unboxed;6;0;0;0;0;0;0
caml_int32_compare;16;0;0;0;0;0;0
caml_int32_format;29;1;1;0;0;32;32
caml_int32_of_string;8;0;0;0;0;0;0
caml_int32_bits_of_float_unboxed;3;0;0;0;0;0;0
caml_int32_float_of_bits_unboxed;3;0;0;0;0;0;0
caml_int32_bits_of_float;9;0;0;0;0;0;0
caml_int32_float_of_bits;7;0;0;0;0;0;0
caml_copy_int64;5;0;0;0;0;0;0
caml_int64_neg;9;0;0;0;0;0;0
caml_int64_neg_native;2;0;0;0;0;0;0
caml_int64_add;12;0;0;0;0;0;0
caml_int64_add_native;2;0;0;0;0;0;0
caml_int64_sub;12;0;0;0;0;0;0
caml_int64_sub_native;2;0;0;0;0;0;0
caml_int64_mul;12;0;0;0;0;0;0
caml_int64_mul_native;2;0;0;0;0;0;0
caml_int64_div;22;0;0;0;0;0;0
caml_int64_div_native;12;0;0;0;0;0;0
caml_int64_mod;22;0;0;0;0;0;0
caml_int64_mod_native;12;0;0;0;0;0;0
caml_int64_and;12;0;0;0;0;0;0
caml_int64_and_native;2;0;0;0;0;0;0
caml_int64_or;12;0;0;0;0;0;0
caml_int64_or_native;2;0;0;0;0;0;0
caml_int64_xor;12;0;0;0;0;0;0
caml_int64_xor_native;2;0;0;0;0;0;0
caml_int64_shift_left;11;0;0;0;0;0;0
caml_int64_shift_right;11;0;0;0;0;0;0
caml_int64_shift_right_unsigned;11;0;0;0;0;0;0
caml_int64_direct_bswap;2;0;0;0;0;0;0
caml_int64_bswap;9;0;0;0;0;0;0
caml_int64_of_int;6;0;0;0;0;0;0
caml_int64_to_int;6;0;0;0;0;0;0
caml_int64_of_float_unboxed;2;0;0;0;0;0;0
caml_int64_of_float;8;0;0;0;0;0;0
caml_int64_to_float_unboxed;2;0;0;0;0;0;0
caml_int64_to_float;6;0;0;0;0;0;0
caml_int64_of_int32;10;0;0;0;0;0;0
caml_int64_to_int32;10;0;0;0;0;0;0
caml_int64_of_nativeint;8;0;0;0;0;0;0
caml_int64_to_nativeint;8;0;0;0;0;0;0
caml_copy_nativeint;5;0;0;0;0;0;0
caml_int64_compare_unboxed;6;0;0;0;0;0;0
caml_int64_compare;14;0;0;0;0;0;0
caml_int64_format;30;1;1;0;0;32;32
caml_int64_of_string;111;3;0;0;0;12;0
caml_int64_bits_of_float_unboxed;2;0;0;0;0;0;0
caml_int64_float_of_bits_unboxed;2;0;0;0;0;0;0
caml_int64_bits_of_float;7;0;0;0;0;0;0
caml_int64_float_of_bits;6;0;0;0;0;0;0
caml_nativeint_neg;9;0;0;0;0;0;0
caml_nativeint_add;12;0;0;0;0;0;0
caml_nativeint_sub;12;0;0;0;0;0;0
caml_nativeint_mul;12;0;0;0;0;0;0
caml_nativeint_div;22;0;0;0;0;0;0
caml_nativeint_mod;25;0;0;0;0;0;0
caml_nativeint_and;12;0;0;0;0;0;0
caml_nativeint_or;12;0;0;0;0;0;0
caml_nativeint_xor;12;0;0;0;0;0;0
caml_nativeint_shift_left;11;0;0;0;0;0;0
caml_nativeint_shift_right;11;0;0;0;0;0;0
caml_nativeint_shift_right_unsigned;11;0;0;0;0;0;0
caml_nativeint_direct_bswap;2;0;0;0;0;0;0
caml_nativeint_bswap;9;0;0;0;0;0;0
caml_nativeint_of_int;6;0;0;0;0;0;0
caml_nativeint_to_int;6;0;0;0;0;0;0
caml_nativeint_of_float_unboxed;2;0;0;0;0;0;0
caml_nativeint_of_float;8;0;0;0;0;0;0
caml_nativeint_to_float_unboxed;2;0;0;0;0;0;0
caml_nativeint_to_float;6;0;0;0;0;0;0
caml_nativeint_of_int32;10;0;0;0;0;0;0
caml_nativeint_to_int32;10;0;0;0;0;0;0
caml_nativeint_compare_unboxed;6;0;0;0;0;0;0
caml_nativeint_compare;14;0;0;0;0;0;0
caml_nativeint_format;30;1;1;0;0;32;32
caml_nativeint_of_string;6;0;0;0;0;0;0
caml_eventlog_resume;1;0;0;0;0;0;0
caml_eventlog_pause;1;0;0;0;0;0;0
caml_init_locale;7;0;0;0;0;0;0
caml_free_locale;7;0;0;0;0;0;0
caml_copy_double;27;0;0;0;0;0;0
caml_format_float;8;0;0;0;0;0;0
caml_hexstring_of_float;120;1;1;0;0;64;64
caml_float_of_string;251;3;2;0;0;80;72
caml_int_of_float;6;0;0;0;0;0;0
caml_float_of_int;29;0;0;0;0;0;0
caml_neg_float;30;0;0;0;0;0;0
