FileName;FunctionName;NumAllocaInvocations;NumEscapingAllocaInvocations;NumDynamicallySizedAllocaInvocations;NumDynamicallySizedEscapingAllocaInvocations;TotalStaticallyAllocatedStackMemory;TotalStaticallyAllocatedEscapingStackMemory
llvm-link;quotearg_n;0;0;0;0;0;0
llvm-link;quotearg_n_options;0;0;0;0;0;0
llvm-link;quotearg_n_mem;0;0;0;0;0;0
llvm-link;quotearg;0;0;0;0;0;0
llvm-link;quotearg_mem;0;0;0;0;0;0
llvm-link;quotearg_n_style;1;1;0;0;56;56
llvm-link;quotearg_n_style_mem;1;1;0;0;56;56
llvm-link;quotearg_style;1;1;0;0;56;56
llvm-link;quotearg_style_mem;1;1;0;0;56;56
llvm-link;quotearg_char_mem;1;1;0;0;56;56
llvm-link;quotearg_char;1;1;0;0;56;56
llvm-link;quotearg_colon;1;1;0;0;56;56
llvm-link;quotearg_colon_mem;1;1;0;0;56;56
llvm-link;quotearg_n_style_colon;2;1;0;0;108;56
llvm-link;quotearg_n_custom;1;1;0;0;56;56
llvm-link;quotearg_n_custom_mem;1;1;0;0;56;56
llvm-link;quotearg_custom;1;1;0;0;56;56
llvm-link;quotearg_custom_mem;1;1;0;0;56;56
llvm-link;quote_n_mem;0;0;0;0;0;0
llvm-link;quote_mem;0;0;0;0;0;0
llvm-link;quote_n;0;0;0;0;0;0
llvm-link;quote;0;0;0;0;0;0
llvm-link;safe_read;0;0;0;0;0;0
llvm-link;read;0;0;0;0;0;0
llvm-link;strnlen1;0;0;0;0;0;0
llvm-link;fd_safer;0;0;0;0;0;0
llvm-link;version_etc_arn;0;0;0;0;0;0
llvm-link;version_etc_ar;0;0;0;0;0;0
llvm-link;version_etc_va;1;1;0;0;80;80
llvm-link;version_etc;1;1;0;0;24;24
llvm-link;emit_bug_reporting_address;0;0;0;0;0;0
llvm-link;xnmalloc;0;0;0;0;0;0
llvm-link;xmalloc;0;0;0;0;0;0
llvm-link;xnrealloc;0;0;0;0;0;0
llvm-link;realloc;0;0;0;0;0;0
llvm-link;xrealloc;0;0;0;0;0;0
llvm-link;x2nrealloc;0;0;0;0;0;0
llvm-link;xcharalloc;0;0;0;0;0;0
llvm-link;x2realloc;0;0;0;0;0;0
llvm-link;xzalloc;0;0;0;0;0;0
llvm-link;xcalloc;0;0;0;0;0;0
llvm-link;xmemdup;0;0;0;0;0;0
llvm-link;xstrdup;0;0;0;0;0;0
llvm-link;xalloc_die;0;0;0;0;0;0
llvm-link;xstrtoimax;1;1;0;0;8;8
llvm-link;__strtol_internal;0;0;0;0;0;0
llvm-link;should_colorize;0;0;0;0;0;0
llvm-link;init_colorize;0;0;0;0;0;0
llvm-link;print_start_colorize;0;0;0;0;0;0
llvm-link;print_end_colorize;0;0;0;0;0;0
llvm-link;fputs;0;0;0;0;0;0
llvm-link;rpl_fts_open;0;0;0;0;0;0
llvm-link;fts_stat;0;0;0;0;0;0
llvm-link;fts_sort;0;0;0;0;0;0
llvm-link;AD_hash;0;0;0;0;0;0
llvm-link;AD_compare;0;0;0;0;0;0
llvm-link;closedir;0;0;0;0;0;0
llvm-link;__lxstat;0;0;0;0;0;0
llvm-link;rpl_fts_close;0;0;0;0;0;0
llvm-link;fchdir;0;0;0;0;0;0
llvm-link;rpl_fts_read;0;0;0;0;0;0
llvm-link;leave_dir;1;1;0;0;24;24
llvm-link;fts_safe_changedir;1;1;0;0;144;144
llvm-link;fts_build;1;0;0;0;4;0
llvm-link;restore_initial_cwd;0;0;0;0;0;0
llvm-link;enter_dir;0;0;0;0;0;0
llvm-link;dirfd;0;0;0;0;0;0
llvm-link;filesystem_type;2;2;0;0;136;136
llvm-link;readdir;0;0;0;0;0;0
llvm-link;fts_compare_ino;0;0;0;0;0;0
llvm-link;dev_type_hash;0;0;0;0;0;0
llvm-link;dev_type_compare;0;0;0;0;0;0
llvm-link;fstatfs;0;0;0;0;0;0
llvm-link;rpl_fts_set;0;0;0;0;0;0
llvm-link;rpl_fts_children;0;0;0;0;0;0
llvm-link;rpl_mbrlen;0;0;0;0;0;0
